temperature,thread_id,iteration,map_filename,no_of_agents,no_of_goals,per_point_diff,score,per_point_score,coeff_per_point_diff
2,1,1,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,32.7304,0.613696,15,
4,2,2,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,31.4021,0.58879,15,
4,2,3,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,30.3186,0.568474,15,
4,2,4,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,30.2522,0.567228,15,
4,2,5,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,30.2522,0.567228,15,
4,5,6,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,25.6423,0.480792,15,
4,2,7,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,20.0734,0.376376,15,
4,2,8,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,16.1816,0.303406,15,
4,2,9,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,16.5741,0.310764,15,
4,2,10,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,16.2599,0.304873,15,
0,7,11,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,13.7415,0.257653,15,
1,5,12,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,13.8145,0.259021,15,
3,5,13,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,6.26026,0.11738,15,
3,5,14,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,6.26026,0.11738,15,
4,2,15,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,4.25205,0.0797259,15,
3,5,16,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,6.17517,0.115784,15,
3,5,17,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,6.17517,0.115784,15,
3,5,18,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,5.50275,0.103177,15,
2,6,19,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,4.42415,0.0829528,15,
3,7,20,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.65895,0.0686053,15,
2,3,21,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.70788,0.0695227,15,
1,3,22,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.70788,0.0695227,15,
1,3,23,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.54664,0.0664995,15,
2,7,24,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.31984,0.0622471,15,
1,3,25,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.54664,0.0664995,15,
0,5,26,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.5019,0.0656606,15,
4,8,27,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.32224,0.0622921,15,
4,8,28,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.34297,0.0626806,15,
1,3,29,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.5356,0.0662924,15,
1,3,30,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.53477,0.0662769,15,
3,2,31,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88522,0.0540978,15,
3,3,32,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.96998,0.0556872,15,
3,2,33,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88522,0.0540978,15,
3,3,34,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.96998,0.0556872,15,
1,9,35,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.89414,0.0542652,15,
1,6,36,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.07787,0.05771,15,
1,9,37,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.89414,0.0542652,15,
0,3,38,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.17068,0.0594502,15,
1,9,39,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.89414,0.0542652,15,
2,6,40,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.30501,0.0619689,15,
2,7,41,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88522,0.0540978,15,
2,0,42,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.80045,0.0525084,15,
1,1,43,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.15503,0.0591568,15,
2,0,44,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.80045,0.0525084,15,
2,7,45,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.18805,0.059776,15,
1,7,46,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.16059,0.0592611,15,
2,6,47,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.22632,0.0604936,15,
0,5,48,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01541,0.0565389,15,
1,9,49,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.16154,0.0592789,15,
3,6,50,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.08342,0.0578142,15,
2,8,51,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88522,0.0540978,15,
2,3,52,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.92237,0.0547944,15,
0,8,53,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88576,0.0541079,15,
2,3,54,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.92237,0.0547944,15,
0,3,55,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.05158,0.0572171,15,
4,3,56,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.14919,0.0590472,15,
0,8,57,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.04501,0.057094,15,
1,8,58,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.12337,0.0585632,15,
2,2,59,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.16595,0.0593615,15,
2,9,60,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.27016,0.0613156,15,
4,4,61,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
4,4,62,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
0,1,63,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88576,0.0541079,15,
1,5,64,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.92794,0.0548988,15,
2,5,65,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.66567,0.0499813,15,
0,1,66,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88576,0.0541079,15,
4,3,67,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01866,0.0565998,15,
1,2,68,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11619,0.0584286,15,
1,3,69,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.24143,0.0607768,15,
2,5,70,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.94997,0.055312,15,
4,0,71,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
1,2,72,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.86882,0.0537903,15,
3,8,73,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88522,0.0540978,15,
0,7,74,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.21686,0.0603161,15,
1,7,75,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.17087,0.0594539,15,
0,6,76,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.16234,0.0592939,15,
4,6,77,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85959,0.0536173,15,
4,6,78,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85959,0.0536173,15,
0,8,79,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.39672,0.0636885,15,
0,1,80,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.19864,0.0599745,15,
4,1,81,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85959,0.0536173,15,
4,2,82,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
4,2,83,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.07337,0.0576256,15,
1,7,84,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.89423,0.0542668,15,
3,5,85,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.04838,0.0571572,15,
1,8,86,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.86825,0.0537797,15,
1,9,87,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11885,0.0584785,15,
1,9,88,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.00099,0.0562685,15,
2,5,89,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.39539,0.0636636,15,
0,7,90,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.47347,0.0651275,15,
0,9,91,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
2,3,92,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.66567,0.0499813,15,
0,6,93,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.86869,0.053788,15,
2,8,94,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.04827,0.057155,15,
0,5,95,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.19396,0.0598868,15,
4,9,96,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.1463,0.0589931,15,
0,3,97,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01079,0.0564523,15,
0,9,98,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.14906,0.0590448,15,
4,9,99,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.31815,0.0622154,15,
